Pokedex with Leading 0,Pokedex Name,Full Name,Prefix,Name,Suffix,Form,National Pokedex,Deck: 1 - 97,Rename,Regional Pokedex,Type,,Generation,Images pokemondb,Images pokedex,Images bulbapedia
001, Bulbasaur,Bulbasaur,,Bulbasaur,,,1,x,001 - Bulbasaur,001,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/bulbasaur.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,https://bulbapedia.bulbagarden.net/wiki/File:001Bulbasaur.png
002, Ivysaur,Ivysaur,,Ivysaur,,,2,x,002 - Ivysaur,002,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/ivysaur.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,https://bulbapedia.bulbagarden.net/wiki/File:002Ivysaur.png
003, Venusaur,Venusaur,,Venusaur,,,3,x,003 - Venusaur,003,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/venusaur.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,https://bulbapedia.bulbagarden.net/wiki/File:003Venusaur.png
003,Gigantamax Venusaur,Venusaur Gigantamax,,Venusaur,Gigantamax,1,3,x,003 - Venusaur Gigantamax,003,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/venusaur-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png,https://bulbapedia.bulbagarden.net/wiki/File:003Venusaur-Gigantamax.png
003,Mega Venusaur,Venusaur Mega,,Venusaur,Mega,2,3,x,003 - Venusaur Mega,003,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f3.png,https://bulbapedia.bulbagarden.net/wiki/File:003Venusaur-Mega.png
004, Charmander,Charmander,,Charmander,,,4,x,004 - Charmander,004,Fire,,I - Kanto,https://img.pokemondb.net/artwork/large/charmander.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,https://bulbapedia.bulbagarden.net/wiki/File:004Charmander.png
005, Charmeleon,Charmeleon,,Charmeleon,,,5,x,005 - Charmeleon,005,Fire,,I - Kanto,https://img.pokemondb.net/artwork/large/charmeleon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,https://bulbapedia.bulbagarden.net/wiki/File:005Charmeleon.png
006, Charizard,Charizard,,Charizard,,,6,x,006 - Charizard,006,Fire,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/charizard.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,https://bulbapedia.bulbagarden.net/wiki/File:006Charizard.png
006,Gigantamax Charizard,Charizard Gigantamax,,Charizard,Gigantamax,1,6,x,006 - Charizard Gigantamax,006,Fire,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/charizard-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png,https://bulbapedia.bulbagarden.net/wiki/File:006Charizard-Gigantamax.png
006,Mega Charizard X,Charizard Mega X,,Charizard,Mega X,2,6,x,006 - Charizard Mega X,006,Fire,Dragon,I - Kanto,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png,https://bulbapedia.bulbagarden.net/wiki/File:006Charizard-Mega-X.png
006,Mega Charizard Y,Charizard Mega Y,,Charizard,Mega Y,3,6,x,006 - Charizard Mega Y,006,Fire,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f4.png,https://bulbapedia.bulbagarden.net/wiki/File:006Charizard-Mega-Y.png
007, Squirtle,Squirtle,,Squirtle,,,7,x,007 - Squirtle,007,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/squirtle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,https://bulbapedia.bulbagarden.net/wiki/File:007Squirtle.png
